designID,tankID,constructionYear,installationDate,desginStandard,material,diameter,height,thickness,capacityGross,capcityNominal,operatingHeight,gemoertryDetails,comments
D_000001,T_000001,2018,3/23/18,API 650,Carbon Steel(A-36),109.00 ft,64.96 ft,0.761 in,107960 bbls,103043 bbls,62.00 ft,Concrete Ringwall Foundation,Initial design
D_000002,T_000002,2019,6/11/19,API 620,Stainless Steel,98.50 ft,72.80 ft,0.648 in,85000 bbls,81321 bbls,65.00 ft,Concrete Slab Foundation,Upgrade design
D_000003,T_000003,2020,11/29/20,API 653,Carbon Steel(A-36),115.00 ft,68.40 ft,0.812 in,120000 bbls,114913 bbls,70.00 ft,Steel Piled Foundation,Maintenance design
D_000004,T_000004,2017,9/14/17,API 650,Aluminum,85.00 ft,60.20 ft,0.525 in,75000 bbls,72159 bbls,55.00 ft,Concrete Ringwall Foundation,New installation design
D_000005,T_000005,2019,4/4/19,API 620,Carbon Steel(A-36),102.00 ft,62.80 ft,0.712 in,90000 bbls,86428 bbls,60.00 ft,Concrete Slab Foundation,Safety inspection design
D_000006,T_000006,2018,7/20/18,API 653,Carbon Steel(A-36),108.00 ft,64.20 ft,0.732 in,100000 bbls,96031 bbls,65.00 ft,Steel Piled Foundation,Compliance audit design
D_000007,T_000007,2020,10/10/20,API 650,Stainless Steel,115.00 ft,68.80 ft,0.801 in,110000 bbls,105728 bbls,70.00 ft,Concrete Ringwall Foundation,Structural analysis design
D_000008,T_000008,2019,12/28/19,API 620,Carbon Steel(A-36),105.00 ft,63.50 ft,0.721 in,95000 bbls,91253 bbls,65.00 ft,Concrete Slab Foundation,Routine inspection design
D_000009,T_000009,2018,5/15/18,API 653,Aluminum,90.00 ft,61.00 ft,0.532 in,80000 bbls,76845 bbls,55.00 ft,Steel Piled Foundation,Upgrade design
D_000010,T_000010,2019,4/4/19,API 650,Carbon Steel(A-36),112.00 ft,66.80 ft,0.742 in,105000 bbls,100765 bbls,68.00 ft,Concrete Ringwall Foundation,Safety check design
D_000011,T_000011,2018,3/23/18,API 620,Stainless Steel,118.00 ft,70.20 ft,0.812 in,115000 bbls,110239 bbls,72.00 ft,Concrete Slab Foundation,Annual maintenance design
D_000012,T_000012,2019,6/11/19,API 653,Carbon Steel(A-36),103.00 ft,61.40 ft,0.702 in,92000 bbls,88267 bbls,63.00 ft,Steel Piled Foundation,Pressure test design
D_000013,T_000013,2021,11/29/21,API 650,Aluminum,110.00 ft,66.80 ft,0.772 in,108000 bbls,103679 bbls,70.00 ft,Concrete Ringwall Foundation,Initial design
D_000014,T_000014,2019,9/14/19,API 620,Carbon Steel(A-36),99.50 ft,73.80 ft,0.648 in,86000 bbls,82321 bbls,65.00 ft,Concrete Slab Foundation,Upgrade design
D_000015,T_000015,2020,4/4/20,API 653,Stainless Steel,116.00 ft,69.40 ft,0.832 in,125000 bbls,119913 bbls,70.00 ft,Steel Piled Foundation,Maintenance design
D_000016,T_000016,2021,7/20/21,API 650,Carbon Steel(A-36),86.00 ft,61.20 ft,0.525 in,76000 bbls,73159 bbls,55.00 ft,Concrete Ringwall Foundation,New installation design
D_000017,T_000017,2020,10/10/20,API 620,Aluminum,103.00 ft,63.80 ft,0.722 in,91000 bbls,87428 bbls,60.00 ft,Concrete Slab Foundation,Safety inspection design
D_000018,T_000018,2019,12/28/19,API 653,Carbon Steel(A-36),109.00 ft,65.20 ft,0.732 in,101000 bbls,97031 bbls,65.00 ft,Steel Piled Foundation,Compliance audit design
D_000019,T_000019,2022,2/14/22,API 650,Stainless Steel,116.00 ft,69.80 ft,0.801 in,111000 bbls,106728 bbls,70.00 ft,Concrete Ringwall Foundation,Structural analysis design
D_000020,T_000020,2022,3/22/22,API 620,Carbon Steel(A-36),106.00 ft,64.50 ft,0.721 in,96000 bbls,92253 bbls,65.00 ft,Concrete Slab Foundation,Routine inspection design
D_000021,T_000021,2023,4/23/23,API 653,Aluminum,91.00 ft,62.50 ft,0.532 in,81000 bbls,77845 bbls,55.00 ft,Steel Piled Foundation,Upgrade design
D_000022,T_000022,2023,5/30/23,API 650,Carbon Steel(A-36),113.00 ft,67.80 ft,0.742 in,106000 bbls,101765 bbls,68.00 ft,Concrete Ringwall Foundation,Safety check design
D_000023,T_000023,2023,6/4/23,API 620,Stainless Steel,119.00 ft,71.20 ft,0.812 in,116000 bbls,111239 bbls,72.00 ft,Concrete Slab Foundation,Annual maintenance design
D_000024,T_000024,2023,7/10/23,API 653,Carbon Steel(A-36),104.00 ft,62.40 ft,0.702 in,93000 bbls,89267 bbls,63.00 ft,Steel Piled Foundation,Pressure test design
D_000025,T_000025,2023,8/14/23,API 650,Aluminum,111.00 ft,67.80 ft,0.772 in,109000 bbls,104679 bbls,70.00 ft,Concrete Ringwall Foundation,Initial design
