inspectionID,tankID,inspectionDate,inspectorName,inspectionCategory,inspectionResult,InspectionType,comments
I_000001,T_000001,4/22/18,Joseph Nguyen,Shell,Acceptable,Routine inspection,Regular maintenance required
I_000002,T_000001,4/22/18,Charlotte Smith,Bottom,Acceptable,Routine inspection,Minor repairs recommended
I_000003,T_000001,4/22/18,Henry Johnson,Aerial,Acceptable,Routine inspection,No issues found
I_000004,T_000002,7/11/19,William Lopez,Fixed Roof,Acceptable,Routine inspection,Clean and lubricate hinges
I_000005,T_000002,7/11/19,Evelyn Martinez,Foundation,Acceptable,Routine inspection,Inspect for corrosion
I_000006,T_000002,7/11/19,Madison Clark,Shell,Acceptable,Routine inspection,Check for leaks
I_000007,T_000003,12/29/20,Lucas White,Bottom,Acceptable,Emergency inspection,Replace worn gaskets
I_000008,T_000003,12/29/20,Victoria Hernandez,Nozzle,Acceptable,Emergency inspection,Inspect seals
I_000009,T_000004,12/29/20,Joseph Nguyen,Bottom,Acceptable,Emergency inspection,Check for sediment buildup
I_000010,T_000004,10/14/17,Amelia Brown,Fixed Roof,Acceptable,Emergency inspection,Clean drainage system
I_000011,T_000004,10/14/17,Charlotte Smith,Shell,Acceptable,Emergency inspection,Inspect welds
I_000012,T_000005,5/4/19,Henry Johnson,Nozzle,Acceptable,NDE inspection,Check for cracks
I_000013,T_000005,5/4/19,Evelyn Martinez,Foundation,Acceptable,NDE inspection,Inspect for rust
I_000014,T_000005,5/4/19,Lucas White,Bottom,Acceptable,NDE inspection,Clean tank exterior
I_000015,T_000006,8/19/18,Madison Clark,Shell,Acceptable,NDE inspection,Inspect for corrosion
I_000016,T_000006,8/19/18,William Lopez,Aerial,Acceptable,NDE inspection,Check roof vents
I_000017,T_000007,11/9/20,Joseph Nguyen,Bottom,Acceptable,Routine inspection,Inspect tank supports
I_000018,T_000007,11/9/20,Charlotte Smith,Nozzle,Acceptable,Routine inspection,Check pressure valves
I_000019,T_000007,11/9/20,Henry Johnson,Foundation,Acceptable,Routine inspection,Inspect concrete base
I_000020,T_000008,1/27/20,Evelyn Martinez,Shell,Acceptable,Out of order inspection,Check for corrosion
I_000021,T_000008,1/27/20,Madison Clark,Bottom,Acceptable,Out of order inspection,Inspect tank floor
I_000022,T_000009,6/14/18,William Lopez,Fixed Roof,Acceptable,Routine inspection,Check roof integrity
I_000023,T_000009,6/14/18,Amelia Brown,Nozzle,Acceptable,Routine inspection,Inspect nozzle connections
I_000024,T_000009,6/14/18,Victoria Hernandez,Shell,Acceptable,Routine inspection,Check for leaks
